Original Molecule,Similar Molecules Above Threshold
CHEMBL2042124,CHEMBL1774461:0.7727272727272727; CHEMBL2042248:0.6136363636363636; CHEMBL2042125:1.0; CHEMBL2042245:1.0; CHEMBL1908919:0.7727272727272727
CHEMBL2296463,CHEMBL2296462:0.746031746031746; CHEMBL2296464:0.746031746031746; CHEMBL2296466:0.7966101694915254; CHEMBL2296465:0.7014925373134329; CHEMBL2296467:0.7230769230769231
CHEMBL2296466,CHEMBL2296463:0.7966101694915254; CHEMBL2296462:0.7966101694915254; CHEMBL2296464:0.7966101694915254; CHEMBL2296465:0.746031746031746; CHEMBL2296467:0.7704918032786885
CHEMBL2296467,CHEMBL2296463:0.7230769230769231; CHEMBL2296462:0.7230769230769231; CHEMBL2296464:0.7230769230769231; CHEMBL2296466:0.7704918032786885; CHEMBL2296465:0.6811594202898551
CHEMBL2397726,CHEMBL2397725:0.8
CHEMBL2407623,CHEMBL2407622:0.7619047619047619; CHEMBL2407618:0.696969696969697; CHEMBL2407616:0.7619047619047619; CHEMBL2407625:0.696969696969697; CHEMBL2407626:0.703125; CHEMBL2407619:1.0; CHEMBL2407617:0.703125
CHEMBL3314334,CHEMBL3314322:0.627906976744186; CHEMBL3314325:0.6428571428571429; CHEMBL3314328:0.627906976744186; CHEMBL3314329:0.627906976744186; CHEMBL3314330:0.627906976744186; CHEMBL3314331:0.7297297297297297
CHEMBL3314336,NA
CHEMBL3314339,NA
CHEMBL3593916,CHEMBL3593911:0.7560975609756098; CHEMBL3593910:0.775; CHEMBL3593909:0.7894736842105263
CHEMBL3593910,CHEMBL3593916:0.775; CHEMBL3593915:0.6086956521739131; CHEMBL3593911:0.7380952380952381; CHEMBL3593909:0.7692307692307693; CHEMBL3593907:0.725; CHEMBL3593896:0.6829268292682927; CHEMBL3593926:0.7469879518072289; CHEMBL3593927:0.7469879518072289
CHEMBL3593896,CHEMBL3593910:0.6829268292682927; CHEMBL3593895:0.75
CHEMBL3593901,CHEMBL3593923:0.6721311475409836; CHEMBL3593922:0.6721311475409836; CHEMBL3593918:0.7192982456140351; CHEMBL3593903:0.6833333333333333; CHEMBL3593902:0.6833333333333333
CHEMBL3593252,CHEMBL4761684:0.6081081081081081; CHEMBL3593917:0.6388888888888888; CHEMBL3593897:0.7575757575757576
CHEMBL3593926,CHEMBL3593911:0.7294117647058823; CHEMBL3593910:0.7469879518072289; CHEMBL3593907:0.7160493827160493; CHEMBL3593924:0.759493670886076; CHEMBL3593925:0.759493670886076; CHEMBL3593927:1.0; CHEMBL3593928:0.7441860465116279; CHEMBL3593929:0.7441860465116279; CHEMBL3593930:0.7241379310344828; CHEMBL3593931:0.7241379310344828; CHEMBL3593932:0.7674418604651163; CHEMBL3593933:0.7674418604651163
CHEMBL3759510,CHEMBL224096:0.6; CHEMBL3758709:0.7307692307692307; CHEMBL3758630:0.9795918367346939; CHEMBL3759176:0.6785714285714286; CHEMBL3759854:0.6964285714285714; CHEMBL3760007:0.625
CHEMBL3759263,CHEMBL3758709:0.6458333333333334; CHEMBL3759176:0.7291666666666666; CHEMBL3759854:0.7142857142857143; CHEMBL3760007:0.6326530612244898; CHEMBL3758500:0.925
CHEMBL4167943,CHEMBL4175800:0.6521739130434783
CHEMBL4470128,NA
CHEMBL40882,CHEMBL40609:0.6981132075471698; CHEMBL41062:0.6788990825688074; CHEMBL41807:0.6513761467889908
