Original Molecule,Similar Molecules Above Threshold
CHEMBL439013,CHEMBL188084:0.7962962962962963; CHEMBL193260:0.7962962962962963; CHEMBL190068:0.7962962962962963; CHEMBL193164:0.7962962962962963; CHEMBL203166:0.652542372881356; CHEMBL206503:0.6666666666666666; CHEMBL377955:0.6491228070175439; CHEMBL216820:0.7345132743362832; CHEMBL389484:0.6302521008403361; CHEMBL426364:0.6814159292035398; CHEMBL229505:0.6016949152542372; CHEMBL229504:0.6153846153846154; CHEMBL229983:0.6239316239316239; CHEMBL229715:0.7155963302752294; CHEMBL425664:0.6902654867256637; CHEMBL229665:0.8301886792452831; CHEMBL229610:0.8380952380952381; CHEMBL229664:0.7857142857142857; CHEMBL389274:0.7589285714285714; CHEMBL387502:0.7368421052631579; CHEMBL229609:0.7368421052631579; CHEMBL426366:0.7413793103448276; CHEMBL387501:0.7567567567567568; CHEMBL229876:0.6228070175438597; CHEMBL229875:0.6324786324786325; CHEMBL229769:0.6; CHEMBL229223:0.7008547008547008; CHEMBL374843:0.6902654867256637; CHEMBL229112:0.6782608695652174; CHEMBL375520:0.6782608695652174; CHEMBL229988:0.6842105263157895; CHEMBL229285:0.608; CHEMBL229164:0.6416666666666667; CHEMBL389059:0.639344262295082; CHEMBL229980:0.6260162601626016; CHEMBL229871:0.652542372881356; CHEMBL229870:0.6551724137931034; CHEMBL1255055:0.6239316239316239; CHEMBL1253794:0.6153846153846154; CHEMBL1253875:0.6016949152542372; CHEMBL1253876:0.6814159292035398; CHEMBL1253961:0.6302521008403361; CHEMBL1254055:0.6324786324786325; CHEMBL1254146:0.6228070175438597; CHEMBL1254147:0.7155963302752294; CHEMBL1254479:0.6; CHEMBL1254560:0.7304347826086957; CHEMBL1254561:0.7368421052631579; CHEMBL1254634:0.7368421052631579; CHEMBL1253196:0.8073394495412844; CHEMBL1254713:0.8073394495412844; CHEMBL1254714:0.7522935779816514; CHEMBL1254797:0.8301886792452831; CHEMBL1254149:0.6842105263157895; CHEMBL1254242:0.6782608695652174; CHEMBL1254243:0.6782608695652174; CHEMBL1254328:0.6902654867256637; CHEMBL1254562:0.7008547008547008; CHEMBL1254635:0.608; CHEMBL1254799:0.6551724137931034; CHEMBL1254887:0.652542372881356; CHEMBL2021397:0.6260162601626016; CHEMBL1254057:0.639344262295082; CHEMBL1254564:0.6991150442477876; CHEMBL1254636:0.7017543859649122
CHEMBL387502,CHEMBL188084:0.7094017094017094; CHEMBL193260:0.7094017094017094; CHEMBL190068:0.7094017094017094; CHEMBL193164:0.7094017094017094; CHEMBL216820:0.6694214876033058; CHEMBL426364:0.6065573770491803; CHEMBL229715:0.6782608695652174; CHEMBL425664:0.6694915254237288; CHEMBL439013:0.7368421052631579; CHEMBL229665:0.7094017094017094; CHEMBL229610:0.7155172413793104; CHEMBL229664:0.7310924369747899; CHEMBL389274:0.7652173913043478; CHEMBL229609:1.0; CHEMBL426366:0.664; CHEMBL387501:0.7946428571428571; CHEMBL229223:0.7226890756302521; CHEMBL374843:0.6554621848739496; CHEMBL229112:0.6583333333333333; CHEMBL375520:0.6583333333333333; CHEMBL229988:0.6638655462184874; CHEMBL229164:0.6504065040650406; CHEMBL389059:0.6220472440944882; CHEMBL229980:0.609375; CHEMBL229871:0.608; CHEMBL229870:0.6229508196721312; CHEMBL1253876:0.6065573770491803; CHEMBL1254147:0.6782608695652174; CHEMBL1254560:0.7672413793103449; CHEMBL1254561:1.0; CHEMBL1254634:1.0; CHEMBL1253196:0.6916666666666667; CHEMBL1254713:0.7203389830508474; CHEMBL1254714:0.7130434782608696; CHEMBL1254797:0.7094017094017094; CHEMBL1254149:0.6638655462184874; CHEMBL1254242:0.6583333333333333; CHEMBL1254243:0.6583333333333333; CHEMBL1254328:0.6554621848739496; CHEMBL1254562:0.7226890756302521; CHEMBL1254799:0.6229508196721312; CHEMBL1254887:0.608; CHEMBL2021397:0.609375; CHEMBL1254057:0.6220472440944882; CHEMBL1254564:0.6779661016949152; CHEMBL1254636:0.6666666666666666
CHEMBL229767,CHEMBL229715:0.79; CHEMBL425664:0.6052631578947368; CHEMBL229875:0.6944444444444444; CHEMBL229823:0.76; CHEMBL229822:0.74; CHEMBL229769:0.7777777777777778; CHEMBL387962:0.74; CHEMBL229768:0.8478260869565217; CHEMBL426369:0.8041237113402062; CHEMBL387961:0.7959183673469388; CHEMBL229716:0.7572815533980582; CHEMBL229172:0.6216216216216216; CHEMBL229171:0.6851851851851852; CHEMBL229113:0.6216216216216216; CHEMBL374843:0.6486486486486487; CHEMBL229112:0.7129629629629629; CHEMBL375520:0.7129629629629629; CHEMBL229988:0.6428571428571429; CHEMBL1254055:0.6944444444444444; CHEMBL1254147:0.79; CHEMBL1254240:0.7572815533980582; CHEMBL1254241:0.7959183673469388; CHEMBL1254326:0.8041237113402062; CHEMBL1254327:1.0; CHEMBL1254398:0.8478260869565217; CHEMBL1254399:0.74; CHEMBL1254479:0.7777777777777778; CHEMBL1254480:0.74; CHEMBL1254149:0.6428571428571429; CHEMBL1254242:0.7129629629629629; CHEMBL1254243:0.7129629629629629; CHEMBL1254328:0.6486486486486487; CHEMBL1254329:0.76; CHEMBL1254400:0.6216216216216216; CHEMBL1254401:0.6851851851851852
CHEMBL425654,CHEMBL229823:0.6785714285714286; CHEMBL229223:0.7652173913043478; CHEMBL441726:0.6521739130434783; CHEMBL374844:0.672566371681416; CHEMBL229172:0.6551724137931034; CHEMBL229171:0.6581196581196581; CHEMBL229113:0.6695652173913044; CHEMBL1254329:0.6785714285714286; CHEMBL1254400:0.6695652173913044; CHEMBL1254401:0.6581196581196581; CHEMBL1254481:0.672566371681416; CHEMBL1254482:0.6521739130434783; CHEMBL1254562:0.7652173913043478; CHEMBL1254563:1.0
CHEMBL441726,CHEMBL229823:0.7281553398058253; CHEMBL425654:0.6521739130434783; CHEMBL374844:0.7722772277227723; CHEMBL229172:0.75; CHEMBL229171:0.6880733944954128; CHEMBL229113:0.7009345794392523; CHEMBL1254329:0.7281553398058253; CHEMBL1254400:0.7009345794392523; CHEMBL1254401:0.6880733944954128; CHEMBL1254481:0.7722772277227723; CHEMBL1254482:1.0; CHEMBL1254563:0.6521739130434783
CHEMBL229171,CHEMBL229715:0.6517857142857143; CHEMBL229823:0.8762886597938144; CHEMBL229822:0.6513761467889908; CHEMBL229769:0.6396396396396397; CHEMBL387962:0.6822429906542056; CHEMBL229768:0.6923076923076923; CHEMBL229767:0.6851851851851852; CHEMBL426369:0.6605504587155964; CHEMBL387961:0.6697247706422018; CHEMBL229716:0.6260869565217392; CHEMBL425654:0.6581196581196581; CHEMBL441726:0.6880733944954128; CHEMBL374844:0.7596153846153846; CHEMBL229172:0.7714285714285715; CHEMBL229113:0.7884615384615384; CHEMBL229112:0.7522935779816514; CHEMBL375520:0.7522935779816514; CHEMBL1254147:0.6517857142857143; CHEMBL1254240:0.6260869565217392; CHEMBL1254241:0.6697247706422018; CHEMBL1254326:0.6605504587155964; CHEMBL1254327:0.6851851851851852; CHEMBL1254398:0.6923076923076923; CHEMBL1254399:0.6822429906542056; CHEMBL1254479:0.6396396396396397; CHEMBL1254480:0.6513761467889908; CHEMBL1254242:0.7522935779816514; CHEMBL1254243:0.7522935779816514; CHEMBL1254329:0.8762886597938144; CHEMBL1254400:0.7884615384615384; CHEMBL1254401:1.0; CHEMBL1254481:0.7596153846153846; CHEMBL1254482:0.6880733944954128; CHEMBL1254563:0.6581196581196581
CHEMBL229461,CHEMBL190875:0.6666666666666666; CHEMBL441886:0.6422018348623854; CHEMBL229512:0.6759259259259259; CHEMBL388524:0.6952380952380952; CHEMBL229463:0.7475728155339806; CHEMBL229462:0.77; CHEMBL390290:0.7524752475247525; CHEMBL229408:0.7755102040816326; CHEMBL229407:0.6106194690265486; CHEMBL390289:0.6238532110091743; CHEMBL229406:0.6476190476190476; CHEMBL229350:0.6476190476190476; CHEMBL390288:0.6355140186915887; CHEMBL229348:0.6634615384615384; CHEMBL1254402:0.6226415094339622; CHEMBL1254403:0.6
CHEMBL390288,CHEMBL190875:0.7019230769230769; CHEMBL441886:0.660377358490566; CHEMBL229512:0.6481481481481481; CHEMBL388524:0.6666666666666666; CHEMBL229463:0.6698113207547169; CHEMBL229462:0.6415094339622641; CHEMBL229461:0.6355140186915887; CHEMBL390290:0.6415094339622641; CHEMBL229408:0.6764705882352942; CHEMBL229407:0.6272727272727273; CHEMBL390289:0.6415094339622641; CHEMBL229406:0.6831683168316832; CHEMBL229350:0.7; CHEMBL229348:0.7894736842105263; CHEMBL1254402:0.6095238095238096
CHEMBL229291,CHEMBL388972:0.7652173913043478; CHEMBL437544:0.8380952380952381; CHEMBL388723:0.7589285714285714; CHEMBL229290:0.6333333333333333; CHEMBL1254150:0.7589285714285714; CHEMBL1254244:1.0; CHEMBL1253631:0.7652173913043478
CHEMBL389811,CHEMBL230080:0.6302521008403361; CHEMBL395986:0.6774193548387096; CHEMBL161261:0.8; CHEMBL389812:0.7798165137614679; CHEMBL412007:0.7946428571428571; CHEMBL269061:0.8; CHEMBL412006:0.7142857142857143; CHEMBL389810:0.7368421052631579; CHEMBL266740:0.6554621848739496; CHEMBL230940:0.7641509433962265; CHEMBL412005:0.65; CHEMBL266513:0.6446280991735537; CHEMBL389809:0.6611570247933884; CHEMBL267690:0.7079646017699115; CHEMBL389808:0.6956521739130435; CHEMBL266739:0.7017543859649122; CHEMBL230307:0.7017543859649122; CHEMBL231216:0.7142857142857143; CHEMBL266738:0.7207207207207207; CHEMBL389608:0.7168141592920354; CHEMBL231147:0.6637168141592921; CHEMBL394502:0.635593220338983
CHEMBL230307,CHEMBL230080:0.6936936936936937; CHEMBL395986:0.6694214876033058; CHEMBL161261:0.7142857142857143; CHEMBL389812:0.7407407407407407; CHEMBL412007:0.6956521739130435; CHEMBL389811:0.7017543859649122; CHEMBL269061:0.7766990291262136; CHEMBL412006:0.7547169811320755; CHEMBL389810:0.7142857142857143; CHEMBL266740:0.6902654867256637; CHEMBL230940:0.7920792079207921; CHEMBL412005:0.6991150442477876; CHEMBL266513:0.6929824561403509; CHEMBL389809:0.7105263157894737; CHEMBL267690:0.7641509433962265; CHEMBL389808:0.8349514563106796; CHEMBL266739:0.8431372549019608; CHEMBL231216:0.7714285714285715; CHEMBL266738:0.7788461538461539; CHEMBL389608:0.8076923076923077; CHEMBL231147:0.7169811320754716; CHEMBL394502:0.7155963302752294
CHEMBL231044,CHEMBL230080:0.6036036036036037; CHEMBL427262:0.7835051546391752; CHEMBL230083:0.711340206185567; CHEMBL231652:0.6442307692307693; CHEMBL231651:0.7346938775510204; CHEMBL230082:0.782608695652174; CHEMBL388491:0.6224489795918368
CHEMBL231652,CHEMBL398187:0.6607142857142857; CHEMBL427262:0.6146788990825688; CHEMBL231044:0.6442307692307693; CHEMBL230083:0.6568627450980392; CHEMBL231651:0.6320754716981132; CHEMBL230082:0.67; CHEMBL388491:0.6039603960396039
CHEMBL430162,CHEMBL395979:0.6528925619834711; CHEMBL232835:0.7478260869565218; CHEMBL232834:0.8317757009345794; CHEMBL234920:0.6583333333333333; CHEMBL232634:0.6929824561403509; CHEMBL232439:0.6869565217391305; CHEMBL232438:0.7592592592592593; CHEMBL232027:0.6260869565217392; CHEMBL231814:0.7619047619047619; CHEMBL395957:0.7142857142857143; CHEMBL234929:0.7142857142857143; CHEMBL2096889:0.7142857142857143; CHEMBL232619:0.7142857142857143; CHEMBL232662:0.6101694915254238; CHEMBL389295:0.6206896551724138
CHEMBL396193,CHEMBL234920:0.6206896551724138; CHEMBL232634:0.75; CHEMBL232439:0.6052631578947368; CHEMBL232438:0.6272727272727273; CHEMBL232231:0.7075471698113207; CHEMBL397421:0.6160714285714286; CHEMBL232027:0.6448598130841121; CHEMBL231816:0.8105263157894737; CHEMBL231815:0.8163265306122449; CHEMBL231814:0.6571428571428571; CHEMBL234931:0.8020833333333334; CHEMBL234930:0.8369565217391305; CHEMBL395957:0.6160714285714286; CHEMBL234929:0.6160714285714286; CHEMBL2096889:0.6160714285714286; CHEMBL233027:0.625; CHEMBL232823:0.6101694915254238; CHEMBL396957:0.603448275862069; CHEMBL232619:0.6160714285714286; CHEMBL245135:0.6086956521739131; CHEMBL394560:0.6481481481481481; CHEMBL232858:0.6106194690265486; CHEMBL232662:0.6272727272727273; CHEMBL389295:0.6388888888888888; CHEMBL232257:0.6571428571428571; CHEMBL394823:0.8191489361702128; CHEMBL394822:0.616822429906542
CHEMBL231814,CHEMBL232834:0.6260869565217392; CHEMBL430162:0.7619047619047619; CHEMBL232231:0.6052631578947368; CHEMBL397421:0.7264150943396226; CHEMBL232027:0.8163265306122449; CHEMBL231816:0.6571428571428571; CHEMBL231815:0.6216216216216216; CHEMBL396193:0.6571428571428571; CHEMBL234931:0.6509433962264151; CHEMBL234930:0.7272727272727273; CHEMBL394823:0.6796116504854369
CHEMBL234930,CHEMBL232634:0.6272727272727273; CHEMBL232439:0.6216216216216216; CHEMBL232438:0.7425742574257426; CHEMBL232231:0.7115384615384616; CHEMBL397421:0.6330275229357798; CHEMBL232027:0.6796116504854369; CHEMBL231816:0.8369565217391305; CHEMBL231815:0.7857142857142857; CHEMBL396193:0.8369565217391305; CHEMBL231814:0.7272727272727273; CHEMBL234931:0.8279569892473119; CHEMBL395957:0.6330275229357798; CHEMBL234929:0.6330275229357798; CHEMBL2096889:0.6330275229357798; CHEMBL233027:0.6272727272727273; CHEMBL232823:0.6120689655172413; CHEMBL396957:0.6194690265486725; CHEMBL232619:0.6330275229357798; CHEMBL232209:0.6140350877192983; CHEMBL245135:0.625; CHEMBL394560:0.6666666666666666; CHEMBL232858:0.6272727272727273; CHEMBL232662:0.6448598130841121; CHEMBL389295:0.6571428571428571; CHEMBL232257:0.6764705882352942; CHEMBL394823:0.8461538461538461; CHEMBL394822:0.6346153846153846
CHEMBL232619,CHEMBL395979:0.7368421052631579; CHEMBL232835:0.6864406779661016; CHEMBL232834:0.7017543859649122; CHEMBL234920:0.7909090909090909; CHEMBL232634:0.8365384615384616; CHEMBL430162:0.7142857142857143; CHEMBL232439:0.8285714285714286; CHEMBL232438:0.8613861386138614; CHEMBL231816:0.6160714285714286; CHEMBL396193:0.6160714285714286; CHEMBL234931:0.6106194690265486; CHEMBL234930:0.6330275229357798; CHEMBL395957:1.0; CHEMBL234929:1.0; CHEMBL2096889:1.0; CHEMBL233027:0.6902654867256637; CHEMBL232823:0.7008547008547008; CHEMBL396957:0.7256637168141593; CHEMBL232209:0.7043478260869566; CHEMBL243045:0.65; CHEMBL245135:0.6581196581196581; CHEMBL394560:0.7; CHEMBL232858:0.8365384615384616; CHEMBL232662:0.8613861386138614; CHEMBL389295:0.8787878787878788; CHEMBL232257:0.7264150943396226; CHEMBL394823:0.7475728155339806; CHEMBL233889:0.6209677419354839; CHEMBL394822:0.6851851851851852
CHEMBL232209,CHEMBL232438:0.6033057851239669; CHEMBL234931:0.6068376068376068; CHEMBL234930:0.6140350877192983; CHEMBL395957:0.7043478260869566; CHEMBL234929:0.7043478260869566; CHEMBL2096889:0.7043478260869566; CHEMBL445407:0.6434108527131783; CHEMBL233027:0.7433628318584071; CHEMBL232823:0.7672413793103449; CHEMBL396957:0.8785046728971962; CHEMBL232619:0.7043478260869566; CHEMBL243045:0.7; CHEMBL245135:0.8018018018018018; CHEMBL394560:0.8557692307692307; CHEMBL232858:0.6416666666666667; CHEMBL232662:0.6581196581196581; CHEMBL389295:0.6695652173913044; CHEMBL232257:0.6875; CHEMBL394823:0.7222222222222222; CHEMBL233889:0.6693548387096774; CHEMBL394822:0.6491228070175439
CHEMBL233889,CHEMBL395957:0.6209677419354839; CHEMBL234929:0.6209677419354839; CHEMBL2096889:0.6209677419354839; CHEMBL445407:0.631578947368421; CHEMBL233027:0.6974789915966386; CHEMBL232823:0.7073170731707317; CHEMBL396957:0.6747967479674797; CHEMBL232619:0.6209677419354839; CHEMBL232209:0.6693548387096774; CHEMBL243045:0.672; CHEMBL245135:0.680327868852459; CHEMBL394560:0.7217391304347827; CHEMBL232858:0.616; CHEMBL232662:0.6311475409836066; CHEMBL389295:0.6416666666666667; CHEMBL232257:0.6581196581196581; CHEMBL394823:0.6902654867256637; CHEMBL394822:0.6218487394957983
CHEMBL393959,CHEMBL237532:0.7560975609756098; CHEMBL237531:0.7131147540983607; CHEMBL237318:0.7073170731707317; CHEMBL237099:0.7073170731707317; CHEMBL237098:0.656; CHEMBL236889:0.6585365853658537; CHEMBL391496:0.7131147540983607; CHEMBL442244:0.7131147540983607; CHEMBL237959:0.7131147540983607; CHEMBL391275:0.7131147540983607; CHEMBL237748:0.7073170731707317; CHEMBL442084:0.7073170731707317
CHEMBL237098,CHEMBL364500:0.625; CHEMBL382631:0.6198347107438017; CHEMBL237532:0.6666666666666666; CHEMBL393959:0.656; CHEMBL237318:0.8598130841121495; CHEMBL237099:0.8598130841121495; CHEMBL236889:0.8207547169811321; CHEMBL237748:0.8598130841121495; CHEMBL442084:0.8598130841121495
CHEMBL248462,CHEMBL440229:0.7804878048780488; CHEMBL392403:0.6813186813186813; CHEMBL392214:0.8024691358024691; CHEMBL248267:0.7386363636363636; CHEMBL392402:0.7647058823529411; CHEMBL247764:0.7831325301204819; CHEMBL428049:0.7619047619047619; CHEMBL247566:0.6206896551724138; CHEMBL246741:0.6
CHEMBL246992,CHEMBL246794:0.7931034482758621; CHEMBL215508:0.6020408163265306; CHEMBL429293:0.7386363636363636
CHEMBL251946,NA
CHEMBL252145,NA
CHEMBL269939,CHEMBL257906:0.7448979591836735; CHEMBL257905:0.7640449438202247; CHEMBL270151:0.7058823529411765; CHEMBL258260:0.6792452830188679
CHEMBL556661,CHEMBL561011:0.8095238095238095; CHEMBL538211:0.6421052631578947; CHEMBL560290:0.6122448979591837; CHEMBL550744:0.6896551724137931; CHEMBL556868:0.6404494382022472; CHEMBL561694:0.7619047619047619; CHEMBL552292:0.6483516483516484
CHEMBL538211,CHEMBL556661:0.6421052631578947; CHEMBL560290:0.6037735849056604; CHEMBL550744:0.6060606060606061; CHEMBL552292:0.6701030927835051
CHEMBL551149,NA
CHEMBL552292,CHEMBL556661:0.6483516483516484; CHEMBL538211:0.6701030927835051; CHEMBL560290:0.6237623762376238; CHEMBL550744:0.6276595744680851; CHEMBL561694:0.6210526315789474
CHEMBL552498,CHEMBL3085299:0.6435643564356436; CHEMBL550683:0.6304347826086957; CHEMBL564409:0.6530612244897959; CHEMBL550545:0.8390804597701149; CHEMBL538215:0.8068181818181818; CHEMBL561092:0.6138613861386139; CHEMBL560953:0.6666666666666666; CHEMBL557070:0.8068181818181818; CHEMBL560689:0.6236559139784946; CHEMBL552229:0.67; CHEMBL538711:0.7070707070707071; CHEMBL538968:0.8295454545454546; CHEMBL552432:0.8295454545454546; CHEMBL563412:0.6565656565656566; CHEMBL557473:0.6372549019607843; CHEMBL562016:0.8111111111111111
CHEMBL1254630,CHEMBL1254556:0.7920792079207921; CHEMBL1254711:0.9607843137254902; CHEMBL1254796:0.6810344827586207; CHEMBL1253625:0.8811881188118812; CHEMBL1253626:0.7476635514018691; CHEMBL1254883:0.7962962962962963
CHEMBL1255054,CHEMBL188084:0.7641509433962265; CHEMBL193260:0.7641509433962265; CHEMBL190068:0.7641509433962265; CHEMBL193164:0.7641509433962265; CHEMBL203166:0.7570093457943925; CHEMBL229929:1.0; CHEMBL538652:0.7142857142857143; CHEMBL229557:0.81; CHEMBL229556:0.7363636363636363; CHEMBL389484:0.7641509433962265; CHEMBL426364:0.7941176470588235; CHEMBL229505:0.801980198019802; CHEMBL229504:0.8383838383838383; CHEMBL389483:0.780952380952381; CHEMBL229983:0.8118811881188119; CHEMBL388302:0.7596153846153846; CHEMBL229610:0.6607142857142857; CHEMBL229876:0.8541666666666666; CHEMBL229875:0.803921568627451; CHEMBL229824:0.803921568627451; CHEMBL389517:0.7663551401869159; CHEMBL1255055:0.8118811881188119; CHEMBL1253793:0.780952380952381; CHEMBL1253794:0.8383838383838383; CHEMBL1253875:0.801980198019802; CHEMBL1253876:0.7941176470588235; CHEMBL1253961:0.7641509433962265; CHEMBL1253628:0.717948717948718; CHEMBL1253962:0.7663551401869159; CHEMBL1254054:0.803921568627451; CHEMBL1254055:0.803921568627451; CHEMBL1254146:0.8541666666666666; CHEMBL1254713:0.6666666666666666
CHEMBL1254055,CHEMBL188084:0.8037383177570093; CHEMBL193260:0.8037383177570093; CHEMBL190068:0.8037383177570093; CHEMBL193164:0.8037383177570093; CHEMBL203166:0.7636363636363637; CHEMBL229929:0.803921568627451; CHEMBL538652:0.6756756756756757; CHEMBL229557:0.7641509433962265; CHEMBL229556:0.7280701754385965; CHEMBL389484:0.7545454545454545; CHEMBL426364:0.8; CHEMBL229505:0.7570093457943925; CHEMBL229504:0.7570093457943925; CHEMBL389483:0.7870370370370371; CHEMBL229983:0.8173076923076923; CHEMBL388302:0.7027027027027027; CHEMBL439013:0.6324786324786325; CHEMBL229665:0.6218487394957983; CHEMBL229610:0.6842105263157895; CHEMBL229664:0.6311475409836066; CHEMBL426366:0.6341463414634146; CHEMBL229876:0.8585858585858586; CHEMBL229875:1.0; CHEMBL229824:0.8095238095238095; CHEMBL389517:0.7727272727272727; CHEMBL229767:0.6944444444444444; CHEMBL1255054:0.803921568627451; CHEMBL1255055:0.8173076923076923; CHEMBL1253793:0.7870370370370371; CHEMBL1253794:0.7570093457943925; CHEMBL1253875:0.7570093457943925; CHEMBL1253876:0.8; CHEMBL1253961:0.7545454545454545; CHEMBL1253628:0.6693548387096774; CHEMBL1253962:0.7727272727272727; CHEMBL1254054:0.8095238095238095; CHEMBL1254146:0.8585858585858586; CHEMBL1254327:0.6944444444444444; CHEMBL1253196:0.6198347107438017; CHEMBL1254713:0.7043478260869566; CHEMBL1254797:0.6218487394957983
CHEMBL1254327,CHEMBL229715:0.79; CHEMBL425664:0.6052631578947368; CHEMBL229875:0.6944444444444444; CHEMBL229823:0.76; CHEMBL229822:0.74; CHEMBL229769:0.7777777777777778; CHEMBL387962:0.74; CHEMBL229768:0.8478260869565217; CHEMBL229767:1.0; CHEMBL426369:0.8041237113402062; CHEMBL387961:0.7959183673469388; CHEMBL229716:0.7572815533980582; CHEMBL229172:0.6216216216216216; CHEMBL229171:0.6851851851851852; CHEMBL229113:0.6216216216216216; CHEMBL374843:0.6486486486486487; CHEMBL229112:0.7129629629629629; CHEMBL375520:0.7129629629629629; CHEMBL229988:0.6428571428571429; CHEMBL1254055:0.6944444444444444; CHEMBL1254147:0.79; CHEMBL1254240:0.7572815533980582; CHEMBL1254241:0.7959183673469388; CHEMBL1254326:0.8041237113402062; CHEMBL1254398:0.8478260869565217; CHEMBL1254399:0.74; CHEMBL1254479:0.7777777777777778; CHEMBL1254480:0.74; CHEMBL1254149:0.6428571428571429; CHEMBL1254242:0.7129629629629629; CHEMBL1254243:0.7129629629629629; CHEMBL1254328:0.6486486486486487; CHEMBL1254329:0.76; CHEMBL1254400:0.6216216216216216; CHEMBL1254401:0.6851851851851852
CHEMBL1254398,CHEMBL229715:0.7835051546391752; CHEMBL229877:0.6057692307692307; CHEMBL229876:0.6764705882352942; CHEMBL229823:0.7708333333333334; CHEMBL229822:0.7872340425531915; CHEMBL229769:0.8085106382978723; CHEMBL387962:0.7872340425531915; CHEMBL229768:1.0; CHEMBL229767:0.8478260869565217; CHEMBL426369:0.8571428571428571; CHEMBL387961:0.8478260869565217; CHEMBL229716:0.8041237113402062; CHEMBL229172:0.6261682242990654; CHEMBL229171:0.6923076923076923; CHEMBL229113:0.6261682242990654; CHEMBL374843:0.6388888888888888; CHEMBL229112:0.7047619047619048; CHEMBL375520:0.7047619047619048; CHEMBL229988:0.6330275229357798; CHEMBL1254146:0.6764705882352942; CHEMBL1254147:0.7835051546391752; CHEMBL1254240:0.8041237113402062; CHEMBL1254241:0.8478260869565217; CHEMBL1254326:0.8571428571428571; CHEMBL1254327:0.8478260869565217; CHEMBL1254399:0.7872340425531915; CHEMBL1254479:0.8085106382978723; CHEMBL1254480:0.7872340425531915; CHEMBL1254798:0.6057692307692307; CHEMBL1254149:0.6330275229357798; CHEMBL1254242:0.7047619047619048; CHEMBL1254243:0.7047619047619048; CHEMBL1254328:0.6388888888888888; CHEMBL1254329:0.7708333333333334; CHEMBL1254400:0.6261682242990654; CHEMBL1254401:0.6923076923076923
CHEMBL1254399,CHEMBL229505:0.6886792452830188; CHEMBL229715:0.7524752475247525; CHEMBL229823:0.7755102040816326; CHEMBL229822:0.8105263157894737; CHEMBL229769:0.7755102040816326; CHEMBL387962:1.0; CHEMBL229768:0.7872340425531915; CHEMBL229767:0.74; CHEMBL426369:0.8210526315789474; CHEMBL387961:0.7575757575757576; CHEMBL229716:0.7047619047619048; CHEMBL374844:0.6055045871559633; CHEMBL229172:0.6481481481481481; CHEMBL229171:0.6822429906542056; CHEMBL229113:0.6330275229357798; CHEMBL374843:0.6160714285714286; CHEMBL229112:0.6636363636363637; CHEMBL375520:0.6636363636363637; CHEMBL229988:0.6106194690265486; CHEMBL1253875:0.6886792452830188; CHEMBL1254147:0.7524752475247525; CHEMBL1254240:0.7047619047619048; CHEMBL1254241:0.7575757575757576; CHEMBL1254326:0.8210526315789474; CHEMBL1254327:0.74; CHEMBL1254398:0.7872340425531915; CHEMBL1254479:0.7755102040816326; CHEMBL1254480:0.8105263157894737; CHEMBL1254149:0.6106194690265486; CHEMBL1254242:0.6636363636363637; CHEMBL1254243:0.6636363636363637; CHEMBL1254328:0.6160714285714286; CHEMBL1254329:0.7755102040816326; CHEMBL1254400:0.6330275229357798; CHEMBL1254401:0.6822429906542056; CHEMBL1254481:0.6055045871559633
